name,team,exp,lag_epa,nHC,nTM,wr,ol,pepa
K.Murray,ARI,3,75.99684167,0,0,30.1,47.5,0.862893683
M.Mariota,ATL,7,6.522892456,0,1,15.2,33.5,0.269845785
L.Jackson,BAL,4,43.55565232,0,0,11.7,49.2,0.668211305
J.Allen,BUF,4,137.3943127,0,0,22.6,42.1,0.854588625
B.Mayfield,CAR,4,20.59128555,0,1,27.6,38.3,0.440782571
J.Fields,CHI,1,-51.4514084,1,0,16.3,29.6,0.025197183
J.Burrow,CIN,2,109.1507347,0,0,26.9,31.3,0.661601469
J.Brissett,CLE,6,-8.447088912,0,1,16.1,40.1,0.328405822
D.Prescott,DAL,6,87.16262275,0,0,17.2,42.8,0.739325246
R.Wilson,DEN,10,28.28827642,1,1,18.5,47.7,0.393876553
J.Goff,DET,6,-23.76501824,0,0,17.8,50.6,0.632069964
A.Rodgers,GB,17,149.0638043,0,0,19.1,29.9,0.831627609
D.Mills,HOU,1,-41.19041356,1,0,21.8,43.8,0.294019173
M.Ryan,IND,14,12.16449335,0,1,14.9,49.6,0.587828987
T.Lawrence,JAX,1,-35.03775933,1,0,34.4,31.9,0.253124481
P.Mahomes,KC,5,164.9628156,0,0,20.7,37.7,0.843025631
J.Herbert,LAC,2,142.5006208,0,0,41,33.2,0.881801242
M.Stafford,LA,13,128.9960166,0,0,29.7,30.1,0.841692033
D.Carr,LV,8,68.26670336,1,0,21.6,25.7,0.341733407
T.Tagovailoa,MIA,2,26.99250493,1,0,25.8,28.1,0.25858501
K.Cousins,MIN,10,76.21727879,1,0,23.5,29.9,0.457534558
M.Jones,NE,1,72.79951272,0,0,38.7,30.6,0.673299025
J.Winston,NO,7,43.53314567,1,0,30.9,36.6,0.516566291
D.Jones,NYG,3,8.894305272,1,0,41.8,31.6,0.427388611
Z.Wilson,NYJ,1,-69.69049703,0,0,29.2,48.6,0.554819006
J.Hurts,PHI,2,59.6858016,0,0,21.9,51.1,0.794871603
M.Trubisky,PIT,5,-5.515587944,0,1,20.5,23.7,0.132268824
G.Smith,SEA,9,5.015534328,0,0,28.2,29,0.516831069
T.Lance,SF,1,6.884185174,0,0,18,37.2,0.44756837
T.Brady,TB,24,164.3766306,1,0,31.7,44.4,1.123653261
R.Tannehill,TEN,10,83.46125502,0,0,20.8,33.2,0.67792251
C.Wentz,WAS,6,43.48240716,0,1,31.2,43.3,0.612964814
